city,year,age,count,sex
AD,2005,0-4,0.0,male
AD,2006,0-4,0.0,male
AD,2008,0-4,0.0,male
AE,2006,0-4,0.0,male
AE,2007,0-4,0.0,male
AE,2008,0-4,0.0,male
AG,2007,0-4,0.0,male
AL,2005,0-4,0.0,male
AL,2006,0-4,1.0,male
AL,2007,0-4,0.0,male
AL,2008,0-4,1.0,male
AM,2005,0-4,1.0,male
AM,2006,0-4,0.0,male
AM,2007,0-4,0.0,male
AM,2008,0-4,0.0,male
AN,2006,0-4,0.0,male
AR,2006,0-4,19.0,male
AR,2007,0-4,14.0,male
AR,2008,0-4,11.0,male
AT,2005,0-4,1.0,male
AT,2006,0-4,0.0,male
AU,2006,0-4,1.0,male
AU,2007,0-4,0.0,male
AZ,2005,0-4,2.0,male
AZ,2006,0-4,1.0,male
BA,2005,0-4,0.0,male
BA,2006,0-4,0.0,male
BA,2007,0-4,0.0,male
BA,2008,0-4,0.0,male
BB,2007,0-4,0.0,male
BB,2008,0-4,0.0,male
BE,2005,0-4,1.0,male
BE,2006,0-4,3.0,male
BE,2007,0-4,1.0,male
BE,2008,0-4,2.0,male
BF,2007,0-4,2.0,male
BG,2005,0-4,0.0,male
BG,2007,0-4,2.0,male
BG,2008,0-4,1.0,male
BH,2008,0-4,0.0,male
BI,2007,0-4,0.0,male
BN,2007,0-4,0.0,male
BN,2008,0-4,0.0,male
BR,2006,0-4,136.0,male
BR,2007,0-4,175.0,male
BR,2008,0-4,115.0,male
BS,2007,0-4,0.0,male
BS,2008,0-4,0.0,male
BW,2008,0-4,4.0,male
BZ,2006,0-4,0.0,male
BZ,2007,0-4,1.0,male
BZ,2008,0-4,0.0,male
CA,2006,0-4,1.0,male
CA,2007,0-4,4.0,male
CA,2008,0-4,0.0,male
CH,2005,0-4,0.0,male
CH,2006,0-4,0.0,male
CH,2007,0-4,0.0,male
CH,2008,0-4,0.0,male
CK,2006,0-4,0.0,male
CL,2006,0-4,5.0,male
CL,2007,0-4,0.0,male
CL,2008,0-4,1.0,male
CM,2008,0-4,0.0,male
CR,2006,0-4,0.0,male
CR,2007,0-4,0.0,male
CU,2008,0-4,0.0,male
CV,2008,0-4,0.0,male
CY,2005,0-4,0.0,male
CY,2006,0-4,0.0,male
CY,2007,0-4,0.0,male
CY,2008,0-4,0.0,male
CZ,2005,0-4,0.0,male
CZ,2006,0-4,0.0,male
CZ,2007,0-4,0.0,male
CZ,2008,0-4,0.0,male
DE,2005,0-4,2.0,male
DE,2006,0-4,0.0,male
DE,2007,0-4,0.0,male
DE,2008,0-4,0.0,male
DJ,2007,0-4,4.0,male
DK,2005,0-4,0.0,male
DK,2006,0-4,0.0,male
DK,2007,0-4,0.0,male
DK,2008,0-4,0.0,male
DM,2006,0-4,0.0,male
DM,2007,0-4,0.0,male
DM,2008,0-4,0.0,male
DO,2008,0-4,2.0,male
EE,2005,0-4,0.0,male
EE,2006,0-4,0.0,male
EE,2007,0-4,0.0,male
EE,2008,0-4,0.0,male
EG,2006,0-4,19.0,male
EG,2008,0-4,0.0,male
ER,2007,0-4,4.0,male
ES,2005,0-4,6.0,male
ES,2006,0-4,12.0,male
ES,2007,0-4,4.0,male
ES,2008,0-4,9.0,male
FI,2005,0-4,0.0,male
FI,2006,0-4,0.0,male
FI,2007,0-4,0.0,male
FI,2008,0-4,0.0,male
FJ,2006,0-4,0.0,male
FM,2006,0-4,7.0,male
FM,2008,0-4,1.0,male
